threshold,recall,specificity,flag_rate,precision,tp,fn,tn,fp
0.0,1.0,0.0,1.0,0.15513767629281397,462,0,0,2516
0.0031735292570875,1.0,0.0,1.0,0.15513767629281397,462,0,0,2516
0.0039122615769642,1.0,0.000397456279809221,0.9996642041638684,0.1551897883775613,462,0,1,2515
0.005,1.0,0.000794912559618442,0.9993284083277367,0.15524193548387097,462,0,2,2514
0.0050730739998965,1.0,0.000794912559618442,0.9993284083277367,0.15524193548387097,462,0,2,2514
0.0052238452323184,1.0,0.0011923688394276629,0.9989926124916051,0.15529411764705883,462,0,3,2513
0.005224926905655,1.0,0.001589825119236884,0.9986568166554735,0.15534633490248823,462,0,4,2512
0.0054772634810489,1.0,0.001987281399046105,0.9983210208193418,0.15539858728557013,462,0,5,2511
0.0054772762272858,1.0,0.0023847376788553257,0.9979852249832102,0.15545087483176312,462,0,6,2510
0.0056628363405932,1.0,0.0027821939586645467,0.9976494291470785,0.15550319757657355,462,0,7,2509
0.0057273604086884,1.0,0.003179650238473768,0.9973136333109469,0.15555555555555556,462,0,8,2508
0.0059571838923409,1.0,0.003577106518282989,0.9969778374748153,0.15560794880431122,462,0,9,2507
0.0062724607926319,1.0,0.00397456279809221,0.9966420416386836,0.15566037735849056,462,0,10,2506
0.0062830349280482,1.0,0.0043720190779014305,0.996306245802552,0.1557128412537917,462,0,11,2505
0.0064234496432562,1.0,0.0047694753577106515,0.9959704499664204,0.1557653405259609,462,0,12,2504
0.0064528871990986,1.0,0.0051669316375198724,0.9956346541302887,0.15581787521079257,462,0,13,2503
0.0064876608687757,1.0,0.005564387917329093,0.9952988582941572,0.15587044534412955,462,0,14,2502
0.0065197983364187,1.0,0.005961844197138315,0.9949630624580256,0.15592305096186299,462,0,15,2501
0.0067080333710105,1.0,0.006359300476947536,0.9946272666218939,0.15597569209993248,462,0,16,2500
0.0068499707211542,1.0,0.006756756756756757,0.9942914707857623,0.15602836879432624,462,0,17,2499
